Sample;CLUSTER;IWS_R1-R2;IWS_V12-R1;MOYDAY_R1-R2;MOYRG_V7-V12;MOYRG_VE-V7;NBDMAX1_R2-R6;NBDMIN1_R1-R2;NBDMIN1_R2-R6;NBDMIN1_V12-R1;NBDMIN1_V7-V12;SUMH2O_R1-R2;SUMH2O_R2-R6;SUMH2O_S-VE;SUMH2O_V7-V12;SUMH2O_VE-V7;SUMRG_R1-R2;SUMRG_R2-R6;SUMRG_V12-R1
1;1;0,2964;0,011;12,8696;16,7154;13,6814;0;2;4;4;3;41,9;76,4;11,6;48;251;387,1091;554,2265;428,3752
2;1;0,3875;0,0059;12,7273;17,0842;16,5183;0;0;0;0;1;41,1;49,8;23,5;10,3;133,5;390,676;544,4456;421,8761
3;1;0,0598;0;13,4211;15,7963;16,408;0;0;4;5;0;54,4;29,8;5,5;90,5;46,9;337,684;627,2852;419,5372
4;1;0,544;0,0087;13,5263;17,9338;15,1332;0;0;5;6;1;40,8;29,7;3,7;148,5;100,1;321,4195;664,9175;398,2709
5;1;0,1627;0;13,3889;16,9642;15,5918;0;0;5;5;1;44,9;29,6;6,9;196,5;60,2;328,7365;625,621;408,2609
6;1;0,048;0,0019;13,0526;16,9627;13,9416;0;0;4;2;2;44,7;44;1,3;31,7;347,2;323,6771;620,654;427,0673
7;1;0,2825;0,0315;12,5909;18,2933;13,6814;0;2;8;2;5;50,9;75;11,6;48;251;376,3912;599,0645;382,4672
8;1;0,4515;0,0144;12,7619;17,4449;16,5183;0;0;7;0;1;17,8;51,9;23,5;11,1;133,5;404,8117;575,0086;400,3906
9;1;0;0;12,95;14,3626;13,3384;2;2;0;4;2;126,1;221,7;2;33,2;285,6;309,2836;586,8925;434,7187
10;1;0;0;12,8421;17,4667;15,1966;2;2;1;2;3;77,2;146,6;33;17,4;269,9;333,752;590,1156;427,0964
11;1;0;0,0127;13,4444;23,0741;15,3347;0;3;5;4;4;104,1;12,3;12,4;24;167,5;313,2842;686,4656;443,9023
12;1;0,0724;0,0072;13,3684;16,4892;16,408;0;0;4;4;1;52,3;32,6;5,5;172,8;46,9;320,427;637,0632;400,4374
13;1;0,3454;0;13,4583;21,7259;15,5678;0;6;9;2;5;26,9;32,4;0;72;95,9;424,0674;631,1743;335,5164
14;1;0,2412;0,0053;13,3684;16,7249;15,5918;0;0;5;4;2;37,9;32,3;6,9;225,3;60,2;307,6607;623,1402;410
15;1;0,0112;0;12,8095;16,0205;14,1356;2;4;2;2;3;46,8;147,7;9,3;47,7;170,8;369,1411;561,3498;429,6233
16;1;0;0;12,9048;15,361;13,3384;2;2;2;2;4;126,1;192,1;2;33,2;285,6;341,0474;588,7429;408,0582
17;1;0;0;12,8421;18,5448;15,1966;2;2;3;2;3;77,2;147,2;33;17,4;269,9;343,12;605,2212;409,7117
18;1;0;0,0124;13,45;21,8639;15,3347;0;5;4;2;6;49,8;17,2;12,4;29,3;167,5;361,633;653,7874;403,2029
19;1;0,0684;0;12,75;18,3748;13,8995;2;4;4;2;2;46,7;149,8;9,3;40,9;177,6;369,5195;583,1309;398,4772
20;1;0,0907;0,0225;13,2105;16,9618;14,7917;5;0;1;1;1;99;187,3;22,1;20,8;136,5;369,544;710,7545;434,7364
21;1;0;0;12,7895;19,0062;15,1966;2;2;6;2;3;82,4;127,4;33;25,6;269,9;364,4212;649,9354;361,6474
22;1;0;0,0063;13,4211;22,3199;15,6376;0;5;11;1;5;39,7;36,7;12,4;25;171,8;340,47;732,4614;385,4671
23;1;0,0255;0;13;17,7791;15,0997;5;0;1;1;0;101,1;151;22,1;14,3;143,1;368,3506;714,0053;414,1955
24;1;0;0;12,9444;18,5771;14,191;8;4;6;3;3;99,7;145;16,1;28,9;99,3;341,6706;716,0735;404,1338
25;1;0;0;13,0625;16,2774;13,5811;12;1;1;1;0;93,2;207,5;3,9;64,3;107,7;283,4136;744,4422;366,4818
26;1;0,55;0,1979;13,0625;16,2774;13,5811;12;1;1;1;0;68,2;104,5;3,9;64,3;107,7;283,4136;744,4422;366,4818
27;1;0;0;12,8235;15,4405;15,36;7;0;1;2;2;101,3;220,4;106,9;61,5;153,4;286,6712;721,7302;399,8185
28;1;0;0;12,8235;18,7009;14,191;8;4;7;2;4;55,9;145;16,1;38,2;99,3;334,7262;715,9284;367,4909
29;1;0;0;12,9444;18,4278;15,0538;8;0;0;0;0;104,4;173,6;28,3;41,9;130,2;360,0083;711,3049;432,9281
30;1;0;0;12,875;16,413;13,7268;12;1;2;1;0;76,6;92,9;18,7;56,3;113,8;275,9515;708,1272;399,1363
31;1;0,4406;0,3128;12,875;16,413;13,7268;12;1;2;1;0;76,6;92,9;18,7;56,3;113,8;275,9515;708,1272;399,1363
32;1;0;0;13,0625;15,416;14,7423;11;1;1;1;0;85,5;153,9;17,1;110,5;111,7;283,4136;729,4889;366,4818
33;1;0;0;12,8235;15,2995;15,36;7;0;2;2;2;100,4;220,4;106,9;61,5;153,4;302,342;718,0661;401,8342
34;1;0;0;12,7778;19,8452;14,191;8;3;14;1;6;68;156,8;16,1;78,2;99,3;355,306;720,95;311,6999
35;1;0;0;12,8125;17,2436;13,7268;12;1;2;1;0;83,5;86;18,7;86,3;113,8;267,088;706,3988;399,3239
36;1;0;0;12,875;15,0564;14,7423;12;1;1;1;0;86,9;209,3;17,1;120,8;111,7;260,9143;747,4871;388,5743
37;1;0;0;13,5;21,9728;15,7393;0;3;5;3;3;83,3;12,3;15,2;25;169;320,3118;661,365;433,8108
38;1;0,1458;0;13,08;16,1073;18,5771;0;0;0;0;1;54;34,1;2;61,9;137,3;363,3707;337,779;378,139
39;1;0,6011;0,0014;12,3333;15,3029;19,4517;0;2;31;1;0;32,5;60,2;17,6;31,5;131,6;299,1053;389,9891;413,3261
40;1;0,2658;0;13,5;18,7649;16,1814;0;0;1;0;0;25,1;140,6;1,1;100,5;125,2;368,4071;432,1566;430,366
41;1;0,4833;0,1327;11,8095;20,2637;14,1478;0;0;30;7;0;54,4;19,5;1;0,3;51,8;212,6585;381,9226;366,6744
42;1;0,6274;0,0003;12;13,3076;17,2601;0;5;25;8;5;20,7;45,7;6,1;37,8;48,2;318,5849;384,7576;372,6684
43;1;0,4414;0,0252;12,6667;17,095;16,2217;0;0;0;0;1;40,2;12,1;22,9;10,3;135,4;373,8542;326,1053;444,2252
44;1;0,1864;0;12,9565;17,6665;14,289;0;4;0;5;3;34,4;31,7;47,9;61,3;164,3;374,926;363,2036;407,4563
45;1;0,0302;0;13,0435;18,5976;14,1711;0;7;1;4;3;36,1;15,7;4,2;83,3;201,2;381,811;359,6803;387,5389
46;1;0,4403;0;13,5417;19,6424;16,1814;0;1;0;0;0;26,7;137,2;1,1;121,4;125,2;361,3853;375,0822;404,2282
47;1;0,6949;0,0074;13,2308;19,7058;17,0138;0;6;1;4;2;38,3;55,8;2,3;179,5;155,7;363,3455;367,1741;347,4446
48;1;0,2629;0,0795;13,4762;23,1505;16,6138;0;2;4;4;3;68,3;91,2;0;49,4;146,6;346,3456;427,9727;380,6266
49;1;0,0409;0;12,9583;18,1971;15,7244;0;2;0;2;3;33,2;66,2;0,2;59,6;97,3;340,4495;372,5262;355,6181
50;1;0,5145;0,0229;12,7619;17,4449;16,2217;0;0;0;0;1;17,8;39,8;22,9;11,1;135,4;404,8117;300,991;400,3906
51;1;0,2221;0,0022;12,8261;18,3256;14,289;0;4;0;4;4;44,7;21,3;47,9;61,3;164,3;367,6165;349,8955;390,4668
52;1;0,0544;0;13;17,9424;14,1711;0;7;1;4;3;36,1;15,7;4,2;83,3;201,2;381,7735;357,3814;382,8553
53;1;0,132;0,0008;13,1;17,9722;15,8697;0;4;2;4;5;23,2;20;33,7;5,9;165,3;384,7428;381,8783;417,5363
54;1;0,0113;0;13,4444;21,6786;14,9518;0;2;4;4;4;104,1;9,3;5,9;29,8;174,1;315,6289;443,0178;445,4194
55;1;0;0;13,15;24,8038;16,8877;0;4;1;3;3;106,5;43,1;36;72,9;195,4;386,8409;499,4438;401,1642
56;1;0,5339;0;13,36;19,5116;16,1814;0;1;0;0;0;28,9;130,2;1,1;132,3;125,2;352,4897;374,5688;409,4032
57;1;0;0,0187;13,4444;22,1982;15,3347;0;3;3;4;4;104,1;9,3;12,4;28,1;167,5;313,2842;437,283;433,0904
58;1;0;0;13,7;21,3505;20,0952;2;1;2;3;3;76,9;110,3;1,8;120,3;51,9;330,745;374,2934;380,9995
59;1;0,2356;0,1145;13,4545;22,2833;16,6138;0;2;4;3;4;67,7;91,2;0;60,6;146,6;375,7046;407,2367;334,4188
60;1;0,0777;0;12,84;17,4304;15,7244;0;2;0;1;4;29,8;57,7;0,2;68,1;97,3;339,1762;360,6232;362,5798
61;1;0,1572;0,0022;13,3333;16,8472;15,0802;5;0;0;1;1;100,9;87,1;22,1;34,7;122,4;347,2124;473,6272;424,6758
62;1;0;0;12,7;16,3987;14,1235;4;4;0;2;3;93;51,3;8,8;99,3;139,6;363,3682;381,3962;428,9879
63;1;0,0569;0;12,8421;19,1417;14,5041;2;2;0;2;3;17,2;8,8;28,8;17,4;274,1;343,12;378,0799;409,7117
64;1;0,2248;0;13,0476;18,3328;15,8697;0;4;3;3;6;26,6;16,2;33,7;5,9;165,3;399,0064;396,0385;412,3433
65;1;0;0,0044;13,5;21,2337;14,9518;0;3;3;3;5;83,3;9,3;5,9;35,1;174,1;320,3118;470,5888;433,8108
66;1;0;0;13,0476;25,1524;16,8877;0;4;1;2;4;98;42,3;36;72,9;195,4;409,7315;503,987;391,9504
67;1;0;0;13,0952;25,1817;16,4057;0;4;1;2;4;98,6;43,1;12,6;72,9;223,6;413,0467;507,5334;395,3603
68;1;0;0,0124;13,45;21,8639;15,3347;0;5;2;2;6;49,8;5,8;12,4;29,3;167,5;361,633;430,9326;403,2029
69;1;0,0158;0;12,9444;18,3495;15,0997;2;0;1;1;0;101,1;50,9;22,1;50,2;143,1;390,9776;434,4332;398,93
70;1;0,0095;0;12,7647;22,0581;22,9704;4;3;4;2;4;36,9;100,2;27,5;81,7;98,2;356,9818;512,9258;432,6365
71;1;0;0;13,4444;20,8737;15,3871;0;3;3;4;6;104,9;15;45;87,2;223,9;313,2842;458,0363;443,9023
72;1;0,2698;0,3074;13,04;18,7365;21,2446;0;2;11;1;0;35,3;88,3;51,4;3,1;65,3;343,4746;654,1942;424,4818
73;1;0;0;13,5556;17,0749;19,6061;0;1;21;6;3;103,9;210,1;14,6;45,5;80,8;311,5829;602,2634;362,4185
74;1;0;0;13,4091;20,2391;19,9207;0;5;17;2;0;25;82,8;27,1;0,2;81,6;330,75;637,4329;376,9715
75;1;0,338;0,2445;12,8333;17,2354;21,2446;0;3;11;0;1;28,8;88;51,4;3,8;65,3;344,642;670,9936;410,0681
76;1;0;0;13,4444;17,3103;19,6061;0;1;25;4;5;208,3;84,4;14,6;47,1;80,8;345,514;580,9878;308,5628
77;1;0,3564;0,5103;12,5385;18,207;17,5779;0;3;13;1;3;111,6;157,3;65,6;8,4;64,2;366,9667;300,276;348,8112
78;1;0;0,0138;12,3333;17,4521;17,4892;0;6;76;1;4;101,5;215,2;61,1;7,8;92,5;384,2971;418,2116;348,9253
79;1;0,232;0,1134;13,0833;17,2797;20,5646;0;0;0;1;0;54,1;57,8;36;26;79,1;369,8813;474,84;386,7617
80;1;0,0288;0;13,2174;14,5168;18,2784;0;1;7;1;0;38,8;53;35,7;82,8;93,7;360,2081;460,714;387,7355
81;1;0,0395;0;13,2273;11,5838;18,9438;0;0;5;0;1;33,9;87,3;9,8;51,9;60,9;326,3634;475,7508;411,566
82;1;0;0;12,6923;14,7156;16,5968;0;5;24;5;3;44,4;71;166,9;12,4;13,3;357,1542;379,4846;357,3058
83;1;0,5051;0,1237;12,6522;18,4507;20,1078;0;1;1;1;0;43;32,8;39,1;13,3;134,1;297,5962;385,0938;386,2386
84;1;0,3578;0;13,65;22,1821;20,5331;0;1;4;3;0;16,2;21,7;18,6;0;78,4;303,7417;393,7777;375,5876
85;1;0,2746;0,1027;12,9167;16,6662;20,5646;0;0;1;1;0;49,5;54,6;36;29,9;79,1;385,3206;425,1794;377,0946
86;1;0,3314;0,2735;12,875;16,8584;21,2446;0;3;1;1;0;29,9;63,6;51,4;3,8;65,3;336,7379;416,4793;429,102
87;1;0,3704;0,4256;12,76;19,6823;18,8299;0;8;4;3;1;31,8;45,9;60,5;2,7;68,6;345,9571;368,3894;398,6276
88;1;0,1896;0;13;16,8841;18,2784;0;2;6;0;1;28,9;76,7;35,7;82,8;93,7;383,1743;396,9799;351,3715
89;1;0;0;13,4286;20,516;22,1593;0;6;13;1;1;121,3;121,9;16;31,4;67,7;382,0748;480,4283;436,3247
90;1;0,0022;0;13,0833;15,0737;19,4191;0;3;15;2;2;61,6;42,8;15;68,4;71,2;357,1506;456,8166;350,5414
91;1;0;0;13,3333;17,6176;20,4963;0;2;6;2;2;82,8;31,2;27,1;14,2;104,2;358,6385;462,632;390,0938
92;1;0;0;13,1739;14,1335;19,5043;0;1;7;1;2;94,6;27,7;9,9;47,4;58,5;336,8858;445,986;354,1842
93;1;0,0001;0,008;12,75;15,6029;18,3837;0;2;25;5;4;35,7;40,2;43;83,4;144,2;375,9012;432,9576;342,5411
94;1;0,149;0;13;15,3802;18,9438;0;0;5;0;1;23,4;75,9;9,8;53,2;60,9;341,901;420,709;367,6216
95;1;0;0;13,1818;14,6936;18,9751;0;0;7;1;1;34,8;85,7;20,9;41,6;60,5;295,3912;426,2785;421,6925
96;1;0;0;13,619;22,2523;20,1797;0;3;5;2;0;21,8;43,7;33,6;0;83,8;344,3785;393,0044;385,9391
97;1;0,5235;0,1344;12,6087;18,4766;20,1078;0;2;1;0;1;44,6;39,1;39,1;13,3;134,1;306,157;387,8258;353,0534
98;1;0,4489;0;13,5714;21,2453;20,5331;0;3;5;3;0;16,2;25;18,6;0,4;78,4;336,3952;390,0881;378,8366
99;1;0,3421;0,1176;12,875;17,5314;20,5646;0;0;1;0;1;47,8;54,1;36;30,1;79,1;400,8348;418,7506;356,1354
100;1;0,3236;0;13,5556;24,6692;20,77;0;3;8;1;2;20;84,7;15,9;12,5;67,6;358,5654;428,6174;351,3121
101;1;0,0402;0;13,5556;22,6541;21,9704;0;0;3;3;1;77,9;95,1;33,7;47,1;71,2;353,0527;456,6521;446,0692
102;1;0,2759;0;12,875;16,3925;18,2784;0;2;7;0;1;24,1;118,7;35,7;99,4;93,7;386,6263;391,7952;337,5986
103;1;0;0;13,35;21,1712;21,9649;0;2;15;5;0;87,8;91,7;5,5;82,9;41,9;354,8279;517,7783;401,6689
104;1;0;0;13,1905;16,4277;20,4963;0;2;7;2;2;83,3;32;27,1;17,2;104,2;330,9664;476,9633;412,3235
105;1;0;0;13,2273;14,9342;19,5043;0;1;13;0;3;42,2;45,5;9,9;47,6;58,5;335,2651;467,4326;336,0395
106;1;0,0274;0,0046;12,6667;15,4673;18,3837;0;2;25;2;7;35,2;40,4;43;86;144,2;381,2303;399,5921;318,514
107;1;0,0048;0;13,1818;15,1976;18,9751;0;0;10;1;1;31,1;85,7;20,9;41,6;60,5;296,4283;429,3713;406,332
108;1;0;0;13,4706;17,0675;19,6061;0;1;2;4;5;202,5;54,7;14,6;56,7;80,8;327,9467;345,0902;312,9466
109;1;0,3638;0;13,4211;24,2213;20,77;0;2;8;2;2;71,3;33,4;15,9;15;67,6;344,0081;448,5694;363,1892
110;1;0;0;13,0526;18,324;20,5757;0;0;1;0;0;46,5;84,7;3,2;96,1;178,7;316,5034;531,9133;374,7823
111;1;0,0622;0;12,9091;21,2048;19,8196;0;1;0;1;1;48,3;50,3;42,8;32;73,8;326,353;370,1686;407,758
112;1;0;0;13,4091;21,0573;21,8516;0;8;15;1;1;114,2;130,6;16;31,4;67,7;389,7281;482,1034;412,295
113;1;0,0502;0;13;22,3412;19,8196;0;1;0;1;1;38,8;57,9;42,8;24,2;73,8;313,3933;397,8198;405,3215
114;1;0;0;13,3333;19,8466;21,9649;0;2;11;5;0;103,2;88,8;5,5;82,9;41,9;341,4294;520,3098;431,2746
115;1;0;0;14,125;12,1444;18,4388;3;0;1;2;1;72,3;65,4;21;45,6;110,7;341,7386;704,2554;458,7786
116;1;0;0;14,1875;14,0386;18,4388;3;0;3;1;2;72,3;80,5;21;45,6;110,7;338,409;757,5242;434,8937
117;1;0,4098;0,0068;13,1111;24,7128;17,0888;0;0;1;0;3;41,1;50;46,6;22,1;76,6;355,5216;403,6709;490,4928
118;1;0,4522;0,0331;12,8333;24,592;17,0888;0;0;1;0;3;47,8;43,3;46,6;22,5;76,6;328,9723;404,3848;497,0513
119;1;0,4047;0;13,3529;23,5563;16,9133;0;1;12;0;2;21,1;50,8;27,1;14,6;191;360,702;433,7608;437,4122
120;1;0,3681;0;14,4375;17,4349;18,5931;2;0;0;0;3;12,3;10,1;13,2;44,2;74,7;358,186;431,1425;419,6416
121;1;0;0;14,0625;16,5751;20,8678;2;0;0;0;0;65,1;80,5;0,9;54,4;74,2;405,7049;480,3739;424,201
122;1;0,494;0;14,2667;19,0637;18,5931;2;0;0;0;3;12,4;10;13,2;44,2;74,7;348,0358;475,411;397,354
123;1;0;0;14,375;19,5854;18,7585;2;0;0;0;3;73,4;122,8;27,5;82,1;148,3;369,7567;449,635;409,7556
124;1;0,0113;0;14,1333;19,7205;18,1814;2;0;0;0;3;16,8;10,8;0,1;2,9;135,7;343,8349;451,2971;396,054
125;1;0,155;0,0492;13,25;21,1267;17,1816;0;0;13;3;3;73,5;153,2;57,8;8,7;155,9;370,1912;442,5368;384,6064
126;1;0,1299;0;12,875;16,0755;15,3926;0;3;26;1;2;29,8;83,1;0,1;2,5;142,3;381,0978;411,3144;306,1951
127;1;0;0;12,4348;14,8597;15,4189;0;4;28;0;2;41,5;120,7;11,6;3,1;152;352,4306;433,2535;299,4926
128;1;0;0;12,4615;15,1613;16,3588;0;7;48;0;2;50,2;181,7;1,6;13,2;181;371,1103;434,3479;315,5796
129;1;0,5061;0;13,8125;22,1901;18,5729;0;0;0;0;4;97,3;95,4;22,2;57,1;119;380,8069;487,125;393,2935
130;1;0,0033;0;14,375;22,0451;17,758;0;0;2;0;3;67,4;66,1;7,3;19,9;108,1;378,0878;438,1139;378,7088
131;1;0,0166;0;14,125;22,9982;18,2503;0;1;1;0;0;95,2;45,8;16,7;34,5;112,3;364,3531;443,2349;404,001
132;1;0,06;0;13,2222;23,5047;19,4706;0;0;9;5;0;32,8;87,5;26,7;77,9;112,2;322,7267;465,0142;424,678
133;2;0,8952;0,0719;13;13,6328;14,845;0;6;16;7;5;5;72,8;6;16,9;32,1;338,0987;585,4064;474,6481
134;2;0,9155;0,2001;12,8095;17,1019;15,9311;0;1;12;2;3;25,4;51,3;6,5;0,8;94,4;372,591;597,7519;430,655
135;2;0,9763;0,5771;12,5714;16,8497;14,5225;0;6;17;6;8;20,7;72,4;11,3;0,6;151,4;374,1937;574,2004;396,711
136;2;0,9934;0,6363;12,8;17,3597;16,6402;1;4;11;3;6;12,7;78,7;4,3;1,4;95;374,5228;541,0998;365,3068
137;2;0,9357;0,2962;12,8;20,1246;15,9311;0;1;18;0;5;29,2;69,5;6,5;1,2;94,4;360,2509;622,0512;352,831
138;2;0,9044;0,0689;13,9375;20,6164;17,8201;2;1;7;3;2;22,9;70,2;0,8;72;128,6;301,1029;625,603;381,0038
139;2;0,9269;0,1503;12,9474;16,4828;13,7018;3;0;3;3;1;16,7;89,1;2,1;21;277,6;344,4415;635,2085;422,1464
140;2;0,9569;0,1872;13,8125;21,5388;17,8201;2;0;7;4;2;26,8;66,3;0,8;72,1;128,6;288,0389;652,2426;360,3251
141;2;0,9581;0,2668;12,8421;17,0611;13,8131;3;2;3;3;1;16,7;91,2;2,1;13,4;285,2;331,0254;672,6499;436,4838
142;2;0,9086;0,2885;13,4706;22,6814;17,4865;2;0;7;4;1;58,9;39,5;0,8;54,5;148,4;266,0159;710,2879;365,4302
143;2;0,9616;0,469;12,8333;19,1449;14,2956;3;2;9;2;2;16,7;93;2,1;4,2;296,9;351,0886;722,2064;360,81
144;2;0,775;0,1959;12,3043;14,7305;19,3025;0;0;13;0;0;31,5;22,2;6,6;32,6;106,8;304,2425;379,7312;406,3334
145;2;0,9478;0,1535;13,12;18,7502;16,2114;0;2;0;0;0;16,9;97,8;0;6,2;96,1;332,2249;395,2184;360,9778
146;2;0,8265;0,0096;12,9091;20,8298;18,0116;0;0;0;0;0;26,9;41,1;3,2;28,6;92,6;326,3692;362,5009;340,3336
147;2;0,9916;0,3368;12,5238;15,4588;13,9703;0;2;7;2;3;16,2;41,8;5,1;0,3;34,4;326,2475;350,87;326,0531
148;2;0,9087;0,4033;12,7273;18,135;14,0919;0;2;2;0;5;30,4;13,2;43,8;48,5;162,3;386,7595;354,9719;423,0612
149;2;0,9646;0,72;13;17,0525;16,584;0;0;0;1;1;19,8;48,6;7;2,6;22,6;353,1866;367,2594;442,0584
150;2;0,9286;0,2558;12,7619;19,1043;16,109;0;1;3;1;4;29,1;46,6;6,5;1;94,4;371,912;333,8629;379,3871
151;2;0,821;0,1668;12,6667;16,2188;15,3873;0;2;3;4;6;34;56,9;7;2,4;106,4;378,0497;327,1162;391,9478
152;2;0,9889;0,1454;13,32;18,3638;16,2697;0;5;2;2;3;13,5;32,2;0;192,7;51,9;386,8258;380,7086;415,5588
153;2;0,7111;0,1056;13,3636;20,293;16,5565;0;4;4;5;3;50,8;27,7;2,8;77;52,1;374,602;412,7346;432,9842
154;2;0,9909;0,2644;12,913;17,8856;16,2114;0;2;0;0;0;13,9;97,9;0;15,8;96,1;307,3792;344,7533;380,8498
155;2;0,9301;0,1275;12,55;19,7602;18,0116;0;0;0;0;0;28,7;35,4;3,2;29,7;92,6;288,2578;337,955;359,7563
156;2;0,8753;0,0659;12,8;18,957;14,1174;1;5;1;3;6;11,8;3,4;40,5;18,7;191,8;367,9164;372,8351;429,5038
157;2;0,9119;0,0617;12,65;19,3182;15,4892;0;6;7;5;14;8,4;76,6;46,3;23,2;129,9;368,7628;330,1877;367,2364
158;2;0,9095;0,492;12,5909;18,5316;14,0919;0;2;2;0;5;30,5;13,1;43,8;48,5;162,3;378,4223;335,4062;416,3029
159;2;0,9689;0,8199;13;17,9157;16,584;0;0;0;1;1;16,4;46;7;2,6;22,6;366,5686;363,6918;391,657
160;2;0,943;0,3361;12,7143;20,1246;16,109;0;1;4;0;5;29,2;46,5;6,5;1,2;94,4;366,9358;341,001;352,831
161;2;0,9234;0,0889;13,9375;20,6164;17,8201;0;1;5;3;2;22,9;47,7;0,8;72;128,6;301,1029;397,8914;381,0038
162;2;0,771;0,1132;13,4091;20,6073;16,5565;0;4;4;4;4;31,9;27,7;2,8;81,9;52,1;388,4756;408,6695;392,3924
163;2;0,9086;0,0939;12,8095;19,224;14,1174;1;5;1;3;6;10,9;3,4;40,5;27,4;191,8;381,9658;380,2763;395,6706
164;2;0,9982;0,4639;12,9048;16,3181;15,4134;0;6;0;3;6;8,9;16,4;12,7;47;40,8;361,9728;374,0368;445,7279
165;2;0,9533;0,15;13,8824;21,1793;17,8201;1;0;5;4;2;26,8;44,5;0,8;72,1;128,6;308,7306;418,0824;366,9246
166;2;0,7244;0,357;14,2;21,6892;20,8826;4;2;3;3;0;101,9;41;16,4;7,3;13,7;326,7774;662,3734;355,2142
167;2;0,9713;0,5626;13,6429;22,6113;23,1113;0;0;5;4;0;14,4;50,1;16,9;7,2;48,5;312,4282;608,4238;417,9787
168;2;0,9454;0,8291;13,0952;24,6964;18,9707;0;1;19;4;2;26,9;95,3;87,5;0,2;74,7;276,8605;703,2614;383,5901
169;2;0,6203;0,4092;14,2;23,1783;20,8826;3;0;3;5;0;101,9;48,6;16,4;8;13,7;335,5096;646,4977;367,2446
170;2;0,9816;0,3158;13,8462;22,8122;23,1416;3;0;1;1;4;17,1;34,5;4;19,2;12,9;284,449;603,6952;336,8747
171;2;0,4838;0,54;14;21,7128;20,8826;1;0;7;5;0;100,5;48,6;16,4;19,3;13,7;337,9068;664,9254;366,1988
172;2;0,609;0,0431;14,0625;20,8886;21,9242;7;1;0;2;1;24,3;28,3;0,2;10,5;17,4;372,6014;641,5535;369,0335
173;2;0,7019;0,0355;14;22,6179;21,6175;7;1;0;2;1;26,6;26,9;0,2;16,7;17,4;352,1336;693,4021;359,3743
174;2;0,9164;0,5612;12,4762;26,9211;21,1011;0;1;7;0;0;65;9,4;71,3;11,1;192,5;432,3344;438,565;440,158
175;2;0,6502;0,6077;12,92;16,3608;17,2724;0;1;18;2;4;52,7;129,6;41,4;12,3;59,5;389,4368;385,605;377,2256
176;2;0,8423;0,0697;13,2857;19,9914;20,3939;0;3;3;2;0;23,4;48,3;24,5;3,2;100,6;301,9846;379,2992;378,5746
177;2;0,9848;0,3669;13,2632;24,6722;20,9381;0;1;5;2;1;11,1;52,5;37,7;0,1;60;279,8399;389,299;344,5895
178;2;0,8209;0,1041;13,0455;19,2128;20,3939;0;3;3;2;0;49,5;22,4;24,5;4;100,6;326,7472;342,5558;379,0994
179;2;1;0,438;13,0952;21,7969;20,9381;0;2;7;2;1;11,1;54,8;37,7;6,1;60;307,0807;410,5814;359,5658
180;2;0,9979;0,8045;13;23,8096;19,1496;1;0;4;1;2;8,6;15,9;38,8;3,6;79,1;269,005;474,7363;376,3645
181;2;0,7299;0,3213;12,9286;26,7455;19,9836;2;0;0;0;1;41,5;60,6;38,9;59,3;212,7;352,0487;487,7788;376,8458
182;2;0,7904;0,1378;13,8125;26,4001;17,4672;1;0;6;0;5;40,5;66,2;9,9;0;207;319,9849;662,3435;385,115
183;2;0,9919;0,3548;13,1429;21,7508;17,1977;0;1;12;0;0;14,4;31,2;11,6;14,9;96,9;367,4927;623,9862;505,6495
184;2;0,9836;0,4938;14,3125;13,0651;19,2357;4;1;4;4;2;15,3;52,6;0,7;25,1;106,9;380,4257;625,7599;464,9742
185;2;0,9817;0,6045;13,8;14,6328;18,3567;3;0;6;9;2;16,5;56,3;14,3;13,5;86,9;364,3232;650,808;537,7165
186;2;0,2012;0,906;14,1765;15,5062;24,2436;0;0;1;7;1;40,4;19,7;5,8;15,2;31,1;329,6023;641,2241;405,4838
187;2;0,9926;0,1664;14,2353;13,7907;18,6799;5;0;0;3;0;8,6;58,9;41,2;44,1;158,9;395,2105;671,0814;453,2321
188;2;0,8394;0,2358;13,6667;26,9537;17,4672;1;0;8;0;5;34;66,4;9,9;0;207;342,0781;669,9773;351,2621
189;2;0,9663;0,1621;13,4118;26,0364;16,8796;0;1;14;0;2;10,2;54,9;0,5;0;211,3;360,0882;674,6674;424,6193
190;2;0,9922;0,4946;12,8182;23,603;17,1977;0;1;12;1;0;18;38,2;11,6;14,9;96,9;328,6552;600,2086;490,8856
191;2;0,9832;0,5154;14,5294;19,1144;20,545;7;1;0;4;0;17,5;44,7;2,4;4;41;382,5821;641,3324;407,6035
192;2;0,9828;0,6191;14;13,7914;19,2357;3;0;6;5;2;19,3;48,2;0,7;25,9;106,9;358,8649;647,347;469,2006
193;2;0,4764;0,732;14,3125;14,9409;24,2436;0;0;1;4;4;21,2;19,7;5,8;23,6;31,1;337,7466;623,1298;391,8647
194;2;0,7127;0,1923;13,6154;27,7736;20,5427;1;0;0;0;3;38,3;66,1;0;3,1;89,9;303,4451;592,6234;369,319
195;2;0,9643;0,3201;13,4118;21,7177;17,3272;0;1;14;0;3;7,8;34,9;9,6;0,9;210;374,17;719,5144;411,1672
196;2;0,9831;0,6781;14,375;19,2152;20,545;7;0;1;5;0;17,2;45,6;2,4;4,1;41;355,9457;654,7302;429,718
197;2;0,8113;0,0275;14;22,1224;24,0325;0;0;0;0;0;22,4;15,6;33,9;51,7;28,1;257,36;710,5835;372,006
