Sample;CLUSTER;IWS_R1-R2;IWS_V12-R1;MOYDAY_R1-R2;MOYRG_V7-V12;MOYRG_VE-V7;NBDMAX1_R2-R6;NBDMIN1_R1-R2;NBDMIN1_R2-R6;NBDMIN1_V12-R1;NBDMIN1_V7-V12;SUMH2O_R1-R2;SUMH2O_R2-R6;SUMH2O_S-VE;SUMH2O_V7-V12;SUMH2O_VE-V7;SUMRG_R1-R2;SUMRG_R2-R6;SUMRG_V12-R1
585;5;0;0;13,5625;25,6154;22,7351;0;1;0;0;0;70,4;72;11,6;44,3;50;344,9999;889,9049;347,1487
586;5;0;0;13,375;26,7549;23,0896;0;0;0;1;0;117,3;141,3;9,6;30,4;65,5;352,5325;846,3924;357,0397
587;5;0;0;13,5625;26,9076;23,0896;0;0;0;1;0;94,7;141,3;9,6;30,4;65,5;393,3562;835,3649;344,7
588;5;0,4131;0,0511;14,5;25,8157;21,809;0;5;4;1;0;47,7;48,2;4,1;1,7;42,6;396,414;666,3604;341,141
589;5;0,4781;0;14,3684;26,3074;22,7846;1;2;3;0;0;35;46,5;7,1;3,3;106,6;416,3173;632,741;354,8912
590;5;0,3077;0;14,6316;25,6971;21,723;0;1;3;1;0;25,3;38,5;39,9;2,7;133,9;429,0707;721,7964;365,8313
591;5;0,3171;0;14,65;26,9227;18,8763;1;3;0;0;0;24,2;66,3;70,3;60;64,5;389,9369;640,4458;356,3014
592;5;0;0;13,9;25,4768;21,4904;0;5;8;2;1;77;35,8;88,7;35,2;96,3;421,2468;708,7576;417,4416
593;5;0,4076;0,2056;13,5789;26,8777;23,6892;0;3;4;3;1;50,6;41,7;51,3;24,8;27,8;355,8449;688,5551;385,4254
594;5;0;0;13,5;25,9067;22,0653;0;0;2;3;0;79,6;115,6;32,8;58,2;93,7;362,1856;694,6643;445,3416
595;5;0,456;0;13,3125;22,6266;21,2809;5;2;2;0;0;56,3;85,9;47,4;2;77,6;365,6581;705,8725;355,2368
596;5;0;0;14,125;21,837;16,7921;0;0;5;2;3;109,8;108,6;35,4;12,8;132,3;350,626;667,9537;459,6422
597;5;0,4655;0,0529;14,5;25,625;21,809;0;4;4;2;0;41,1;43;4,1;2,2;42,6;356,6956;710,7682;368,9723
598;5;0,5266;0,0304;14,3158;27,0616;22,7846;1;1;3;1;0;35;44,9;7,1;3,3;106,6;375,0412;674,5554;354,9737
599;5;0,4462;0;14,6;25,6871;21,723;0;1;3;1;0;22,9;37,8;39,9;3,2;133,9;433,836;714,42;373,1602
600;5;0;0;13,5;25,9067;22,0653;0;0;2;3;0;79,6;115,6;32,8;58,2;93,7;362,1856;694,6643;445,3416
601;5;0,456;0;13,3125;22,6266;21,2809;5;2;2;0;0;56,3;85,9;47,4;2;77,6;365,6581;705,8725;355,2368
602;5;0;0;14,125;21,837;16,7921;0;0;5;2;3;109,8;108,6;35,4;12,8;132,3;350,626;667,9537;459,6422
603;5;0,4655;0,0529;14,5;25,625;21,809;0;4;4;2;0;41,1;43;4,1;2,2;42,6;356,6956;710,7682;368,9723
604;5;0,5266;0,0304;14,3158;27,0616;22,7846;1;1;3;1;0;35;44,9;7,1;3,3;106,6;375,0412;674,5554;354,9737
605;5;0,4462;0;14,6;25,6871;21,723;0;1;3;1;0;22,9;37,8;39,9;3,2;133,9;433,836;714,42;373,1602
606;5;0;0;13,9412;25,108;19,5945;3;1;0;2;0;99,4;89,7;32,5;56,3;100,1;398,0628;653,6178;420,0743
607;5;0;0;13,6667;27,7222;21,7772;4;1;0;0;0;54,3;36,3;34,2;68,8;178,6;446,1912;803,9138;416,6608
608;5;0,5044;0;14;21,5081;20,3037;0;0;4;0;4;16,1;210,2;33,3;105,9;145,5;386,8636;720,5465;384,5567
